,content,,,,,,,,
288,공포영화에 많이 무뎌져있었는데 오랜만에 오싹오싹하게 만든 영화임.,,,,,,,,
289,오랜만에 공포영화가 무서웠다,,,,,,,,
290,솔직히 난 무서운거 잘 안타는데 이거 진짜 쪼금 무서웠구 진짜 재밌게 잘만듬.,,,,,,,,
291,정말 알바가 있긴 있군요 -_-;; ㄷㄷㄷ,,,,,,,,
292,배우들의 연기가 괜찮았다,,,,,,,,
293,알바질좀  티안나게 해라 삽대가리들아 ㅋㅋ 묶어놓고 엑소시즘 해뿔라 ㅋㅋ,,,,,,,,
294,어지럽기만 하다. 웩.. ㅠㅠ,,,,,,,,
295,짱,,,,,,,,
296,이영화다큐인지영화인지햇갈렷음;;,,,,,,,,
297,공포감을 느끼기 이전에.. 흔들어대는 영상에 촛점 맞추느라 눈알이 아프다,,,,,,,,
298,공포영화는 무조건 잔인해야재밌다는 편견을 깼다. 너무 재밌게 봤다.,,,,,,,,
299,명품 공포다큐멘터리,,,,,,,,
300,소재를 잘이끌어냈습니다.,,,,,,,,
301,배우들의 연기가 돋보임.,,,,,,,,
302,나름 긴장하면서 봤다. 재밌었다,,,,,,,,
303,보는내내 긴장긴장긴장,,,,,,,,
304,아 진짜 다큐멘터리같잖아,,,,,,,,
305,소리와 자극적인 비주얼로만 놀래키려던 호러감독들은 각성하라.,,,,,,,,
306,세심하게 구성된 리얼리티공포물.,,,,,,,,
307,원래 공포영화 시시한데 이건 아니네요…재밋어용~,,,,,,,,
308,혼자 보고 잠을 못자고 있다,,,,,,,,
309,무서워서 고개 돌리고 봤다. 쩝..,,,,,,,,
310,여자애가 아크로바틱했나? 진짜 유연함. 아 무서워서 혼났네요,,,,,,,,
311,왠만한 공포영화보다 훨씬 더 공포를 느끼며 봤다.,,,,,,,,
312,괜찮은데? 긴장도 되고!,,,,,,,,
313,제 나름 정말 재밌었던거 같네여,,,,,,,,
314,긴박감있는 진행. 짜임새있는 스토리.,,,,,,,,
315,다큐라는게 크게 한몫했음.,,,,,,,,
316,기대보다 훨씬 잘만든 영화.,,,,,,,,
317,나의 몇안되는 최고의 공포영화,,,,,,,,
318,시작하자마자 밀려오는 긴장감,,,,,,,,
319,완성되어진 잘짜여진 영화,,,,,,,,
320,이건 단순한 공포영화가 아니다..,,,,,,,,
