,content,,,,,,,,,,,
115,기대한 보람이있다 무솝땅 ,,,,,,,,,,,
116,"진심 후기랑 지인들한테 낚임.여친이랑 심야로 봤는데 내가 공포를 좋아해서 안무서운걸 떠나서 극장에 사람들 꽉찾는데  모든 사람들 심지여 여친도 안무서워함ㅡㅡ초반에 아저씨가 ""왁!""할때 빼고 사람들 다 ...",,,,,,,,,,,
117,욕 안 하고 1점 남겨주는걸 다행으로 알아라.,,,,,,,,,,,
118,여기에 알바 젼마 많네티난다 티나....,,,,,,,,,,,
119,밤에잠못잘듯...재미있어요!!,,,,,,,,,,,
120,진짜 '리얼'을 기준으로 알려드리자면 리얼이 재미 없는만큼 무서움,,,,,,,,,,,
121,콜라 사지마세요. 지립니다.팝콘 사지마세요. 바닥에서주워드세요.,,,,,,,,,,,
122,아니 왜 선량한 캐릭일수록 고통받냐ㅠㅠㅠ,,,,,,,,,,,
123,저.... 너무 무서워요.. 영화보고 우리집이 31층에 내려서 복도를 좀 걸어야 하는데... 뒤에서 따라올까봐 식은땀 흘렸어요. 문 재빨리 닫고 오늘 불 키고 잘려고요...,,,,,,,,,,,
124,진짜 영화내내 눈이 안떠짐 ㅅㅂ 개무섭,,,,,,,,,,,
125,역대급 쓰레기 영화지루함으로 시상하면 무조건 1등 영화,,,,,,,,,,,
126,이거 무섭다고 페북이나 트위터에 올라오는데 개소리하지마세요. 보다가 어이없어서 웃음만 나오네. ㄹㅇ 악마 나오는 부분에서 실소터짐. 이거 볼 바엔 바닥에 만원 뿌리는게 다른사람이 더 가치있게 쓸 듯,,,,,,,,,,,
127,애나벨1 이전 이야기인데 이거 보면 애나벨 1편 첫장면이 왜 그렇게 시작했는지 알 수 있어요 1편보다 훨씬 무서워요. 마지막 티저영상도 놓치지 마세요. 워렌부부 유니버스를 향한 좋은 출발이네요,,,,,,,,,,,
128,평점과 후기에 속지마세요. 공포매니아로서 정말 너무너무너무 지루하고 재미없는 영화였습니다. 몸이 찌뿌둥해서 그냥 극장 밖으로 나갈까 고민했을 정도로..,,,,,,,,,,,
129,이영화를 보고 잔뇨감이 사라졌어요 정말 감독님 고맙습니다,,,,,,,,,,,
130,꼭보셈 재밋음 틈을안줌,,,,,,,,,,,
131,같이보러간 양옆친구들이 내옆에계속 붙어서 벌벌떨었던 영화 순간 스마트폰 간접체험했음,,,,,,,,,,,
132,정말 알바가 많은거 같군요,,,,,,,,,,,
133,라이트 아웃같....깜짝 깜짝 놀램... ㅠㅠ,,,,,,,,,,,
134,너무 기대를 많이 했나보다 생각보다 그렇게 안무서웠음.. 내용 마무리도 그닥이고,,,,,,,,,,,
135,진심 평점알바 믿지마라 ㄹㅇ 처음부터 끝까지 너무 지루하고 검은색 악령나올때 무슨그렘린인줄알았다 진심,,,,,,,,,,,
136,앞에서 팝콘 날라와서 덕분에 팝콘 목욕함..아무것도 안 사서 가는 걸 추천.. 그만큼 무서움.,,,,,,,,,,,
137,남자 셋이너 손 잡고 봤다.,,,,,,,,,,,
138,영화관 가서 보실거면 사람 많은 주말에 가서 보세요.영화관에 6명 밖에 없어서 더 오지게 무서웠음.내가 이런 개쫄보새기였다니..,,,,,,,,,,,
139,영화 시작전에 화장실 가지마세요 미리가든 안가든 결국 싸게 돼있습니다.,,,,,,,,,,,
140,최고 공포영화 이전작들은 그냥 잡미만임,,,,,,,,,,,
141,완전 별로임. 실검도 조작임? 이 밤에 보러 왔다가 완전 짜증. 낚이지 마삼...ㅋ...,,,,,,,,,,,
142,보는 내내 흥미진진! 한컷도 안놓치기 위해서 두눈 부릅뜨고 잘 보고왔습니다. 엄마랑 잔다느니 참 겁쟁이들.. 아빠랑자야 덜무섭죠. 아부지..,,,,,,,,,,,
143,집에 인형 다 버렸습니다,,,,,,,,,,,
