,content
199,오~~ 신선한 충격이다...아쉬운부분도있지만 그래도 잼있다
200,볼만한 공포영화
201,결국여자친구는 죽었다는건가?그 싸이코패스는 어케 도망쳤지?
202,영화의 전체적 분위기와 인물들간의 미묘한 긴장감과 암시를 잘 표현한 영화
203,치료불가라는데 이분법? 두뇌없음? 그럼 동화만들어야되냐?
204,스토리는 좀 그렇지만 연기력들만은  그런대로 괜찮은
205,제미있던던데...
206,잼있던데~~
207,귀신이 안 나오는데 무서운 영화는 처음 봤다.
208,괜찮다 이정도면..
209,난 보고무서워서 울었는디...
210,보는 내내 심장이 두근두근
211,유선 연기가 정말 죽였음. 후반부에 액션신에 대략난감.
212,기대하나도 안했었는데 ㅋㅋㅋ 무서웠음
213,나름 괜찬은 영화.적당히 무섭구
214,무서움과감동의어울림
215,기대에못미치지만 싸이코패스란 주제를 잘내세웟다!꽤 괜찮은영화
216,한국공포영화많이발전햇당.
217,그래도 우리나라니까 이정도로 나온거다 일본에서 만들었으면 더 심했을꺼다
218,여자;; 대따시 독하던데요!! 재미있게 봤어요^^
219,우리나라공포영화중에 제일인듯!!
220,참신함
221,심리공포.
222,유선씨 힘 절라 쎄다..ㅋㅋ 웃교~^^; 아파서 악~ 소리지르는것두ㅋ
223,유선님의 연기..최고였습니다!! 무섭기도 하지만 너무 징그러웠어요^^;
224,친구랑 빠져서 봤어요 ㅋㅋ전 겁이 많아서 너무 무서웠어요ㅋㅋ연기최고ㅋㅋ
225,유선의 리얼한 연기내공에 10점/사람이 귀신보다 더 무섭다는걸 느낀영화
226,유선 때문이라도 10점
227,그냥 볼만한 정도...
228,빤히보이는반전이였지만 그래도 재밌는 영화
229,완전 말이 필요 없었습니다.  한동안 사람이 무서웠어요~
230,good 황정민
231,재밌다.
232,역시... 사람이 가장 무서워.ㄱ-
233,완전무섭다. 조조로혼자봣다가심장떨어질뻔..
234,검은집 !!졸라 짱이삼
235,엄청 재미있어요~ㅋ 유선 강신일 순으로 이름이 적혀있어서 반전을;;;ㅋ
236,무서워ㅠㅠㅠㅠㅠㅠㅠ
237,황정민보다 유선의 연기가 돋보였다. 하지만
238,링 이후로정말 무섭게 본 영화다. 완전 무섭던데. 유선씨 최고!
239,제법 몰입해서 본 영화. 편집에 문제가 보이는 듯.
240,오~~갠찬은데 왜 평점이.. 한국영화치곤 갠찬음~~~
241,평점중에 0점이 있어면 0점줬다....
242,볼만했다. 유선씨 연기 섬뜩하다. 정말싸이코패스가 아닐까?ㅋㅋ
243,워낙 배우들이 뛰어나서 연기 보는것만으로 재밌지만 반전예상이 쉽다. 7점
244,유선의 섬뜩한 연기 끝내줍니다..
245,스릴감최고 공포최고
246,너무 연기들도 잘하고 좋았다~
247,이건무슨...한국공포영화의 수준이이것밖에 안되던말이냐....보던내내이건아니자나
248,간만에 재밌게 본영화..ㅋㅋㅋ연기력 짱~ 흡인력 짱~
249,스릴넘치게 잘봤어요^^!난 왜 황정민보다 유선씨가 연기더잘한것같지?
250,역시 귀신보다 사람이 더무섭다는것을 알게해준영화 
251,이정도면 됐지
252,아직 남아있는 사이코 패스에 대한 공포..그 공포가 오래가지 않길....
253,보지마세요..유선연기덕에 3점 옛다!!
254,넘잔인한ㅠㅠ저도 유선연기에감탄했음ㅋ 영화잼나요..
255,유선의 연기를 보고 감탄했다~소설을 아주 잘 옮겼다는 느낌!!
256,약간의 엉성함
257,잔인했다. 유선과 황정민의 연기력과 독특한 설정
258,유선씨의 눈빛
259,스릴은 OK~* 무서운 건 글쎄~* 스토리 괜찮고 연기 좋고 쫌 말이 안된단 거 빼고ㅋ
260,너무 무서워서 영화끝나기만 기다렸어여 유선 연기 정말 잘하던걸요
261,오랜만에 좋은 영화 한편 보았다.ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
262,귀신이등장하지않아도무서울수있다. 평점은 7.5점 정도가 적당할 듯!
263,신인여배우의 어설픈 연기력 없어 더 좋았다. 생각보다 만족도 높음
264,유선이 정말 무섭게 느껴지더라.. 덜덜
265,각 배우들의 열연만으로도 충분히 재밌다
266,원작과 상당히 달랐다. 조금 더 세밀했었으면...
267,먼남자가 다리불편한여자 하나를 못이겨~~설정도참~~!!!  실패한 이유가밌군!!
268,좀비같은 신이화
269,13.05.11.개인적으로 원작 소설을 굉장히 재밌게 봤었는데
270,다시 보니 진짜 웃기는 연출이네ㅋㅋㅋ소화기로 뿌려놓고 왜 다가가는거야ㅋㅋ죽으려고 그런거지 뭐ㅋㅋㅋ소설로 읽을때 남주가 어땠는지 생각이 안 나네. 10년도 전에 읽었던거라...무튼 영화 초반에는 나름 잘 풀어나갔지만 ...
271,나는 개무서움..진짜 유선 짱이다
272,국내에서 사이코패스를 직접적으로 언급한 최초의 영화
273,김서형은 언제봐도 섹시함
274,6점대 영화는 아니다. 비록 주인공은 답답하지만  영화 자체는 흥미롭다.
275,나였음 식칼부터 저멀리 던졌다ㅠㅠㅠ소화기뿌리고 니가 왜글루 들어가냐...아휴
276,평점이 너무 과소평가 됐음. 평점 조절.
277,주인공 빠가사리네 보는 내내 답답해서 죽는줄 알았다.
278,재밌다...ㅋㅋ좀 작위적인부분도 없지 않아  있지만 계산없이 그냥 영화만 본다면 재미있는 영화다..눈높이를 낮추면 괜찮아요~
279,원작소설의 엄청난 긴장감을 줘도 못먹는 공포영화
280,책은 지리는데 영화는 그닥
281,절름발이 여성에게 도망가는 건장한 성인 남녀 커플이라니ㅋㅋㅋ상식적으로 이해 불가능할 정도로 필요 이상으로 도망침 심지어 범인이 칼떨구고 정신잃고 자빠져있는데도 칼 안뺏네
282,완전무서웠음ㅠㅠ
283,완벽반전! 중간에 보다가 너무 무서워서 나오려고 했어요.
284,너무나 매력적이었던
285,연기자가 좋아서 그나마 별 두개....정체가 뭐야 이거!!
286,유선이 너무 이쁘니까 공포인데 흥분이 ㅋ
287,우와 근 몇년만에 본 최고의 ㅆㄹㄱ 영화
288,감독님...대체 무슨 짓을 하신겁니까..
289,와 보면서 제발 딜떨어진 주인공 빨리 죽여달라고 빈 영화는 처음이네...
290,이걸 본 내 시간이 아깝다 장난하냐 진짜 난 소화기로 OOO 패는줄알았는데 소화기를 뿌려버리네ㅋㅋ아 형사한테 전화하지말고 경찰한테 신고하라고ㅜ공중전화로 뭐하냐고요 무기챙기라고요 짜증나게하지말고ㅜ확킬 하라고ㅠ
291,시간아깝다 존나 말도안되는 영화 진짜 할거없고 시간 넘쳐흐를때 봐도 시간아깝다 생각하는영화
292,주인공이 너무찌질하고 너무참견함ㅡㅡ보는내내짜증만낫음 잔인한장면만 집중적으로투자한듯ㅡㅡ
293,최악. 무료로 봐도 돈아까움. 황정민 개찌질이 다리저는 여자 싸이코패스한테 그렇게 당하냐 ㅡㅡ
294,유선 연기쩔어 유선이 여우주연상을 받앗어야 햇는데
295,오연기도쩔고 ㅜ ㅜ스릴!!!
296,공포영화 급땡겨서 봤는데 예쓰꿀잼ㅋ 바로이맛이야ㄱㅋㅋㅋㅋㅋ  A급B급 영화는 한끗 차이ㅋㅋㅋ
297,유선씨 연기 좋았음
298,국내 스릴러중 볼만한 스릴러임~~
299,진짜 ㅂㅅ같은 영화....황정민이 젤 ㅂㅅ같아 보였음
300,왠만해선 귀찮아서안스려햇는데 진짜 개 ㅄ같다 30대초반정도에 정상적인 남자가 장애인여자 죽이는건그렇다하고 상대못하냐? 아오 영화 이거추천한사람누구냐 진짜이영화 보면 후회한다 장애인여자vs정상남자 여자win ? 여자가...
301,영화는 ㅈ망인데 유선이 너무 예쁘게 나와서 계속 응원하게 됐다 ㅋㅋ
302,결국 보게 된 검은 집현시점 기준으로 보면 구린 연출이 답답한 영화지만2007년작이라는걸 감안한다면 전체적으로 나쁘지 않다고 본다당시에는 이것보다 구린 영화들 넘쳤으니까하지만 현시점 기준으로 보면 사이코패스에 대한 ...
303,무슨 이런영화가 ㅋㅋ 할말없는 영화 ~
304,유선님이 너무 예쁘셔서 하나도 안무서웠어요...
