,content
174,외계인의 재난. 아버지의 사투. 더 무서운 인간의 불안감. 스필버그 특유의 긴장감. 독창적인 줄거리. 그리고 톰크루즈의 가죽점퍼....
175,스티븐 스필버그가 영화 죠스를 만들었었지.. 초반부터 긴장감의 연속. 친절한 시작과 마무리.
176,부모가 불화하면 자식들이 문제가 된다는 가족 영화. 진심 얘새끼들 말 드릅게 안듣고
177,진짜 보다가 속터지는 부분이 너무 많았음... 오빠가 제일 답답했고 아니 그 좁은 집안 외계인이 바로옆에 둘이나 있는데 왜 몸싸움을 하는거야 하
178,자식새끼들 때문에 암걸리겠네..트랜스포머가 천만배는 낫다..톰크루즈 최악의 영화.
179,자식과의 전쟁!! 개발암
180,보는데 오빠놈 진짜 죽이고싶다 그냥 처음에 버리고 죽게놔두지 민폐쩔어
181,아니 아들새끼 존나 맞아야됨 정신 개못차리고 딸애야 어려서 그렇다쳐 소리지르는거 겁줘서 조용히야 시키지 와 씨 이건 대가리커서 말도 안듣고
182,래이첼 죽이고싶다. 진짜 가족이라도 야전삽으로 대가리 때려서 기절시켜놓고 트렁크나 업고다닐거 같다
183,상황파악 하나 제대로 하지 못하는 지능과 주변사람을 생각하지 못하는 인성과 그런 자식들 관리를 제대로 하지못한 죄값을 아비가 치루는 영화.
184,나라면 아들한테 한방 쏘고 시작한다
185,답답하다..애새끼들 ..사람들이 죽어가고 어떤 상황인지 알면서..저럴까 싶다..그것만 빼면 봐줄만한 영화
186,애OO 시끄러운거빼고 재밋게봣음
187,자식새끼는 키워봤자 도움이 안된다
188,초등학교 4학년때 봤던 영화인데.  꿈에 나올정도로 외계인이 너무 무서웠다. 이것 때문에 악몽도 꾸고 우주전쟁이 일어난다면 ;; 왠지 무서울거란게 너무 크게 와닿음..
189,재미는있는거같은데 여자애는 비명만 겁나게질러서 시끄럽고 짜증났...아들 로비는 조종당하는줄알았는데 미친듯이 싸우려하고;;
190,아들이 짜증나서 이 이상은 못주겠다
191,외계영화 필수코스 진짜 재밋다
192,개답답하네요 보다가 병 얻어갑니다 애는 계속 소리지르고원작이 있다는데 그냥 책 읽으세요
193,명절마나 나오네 ㄷㄷ .
194,지금까지 몇 번을 다시 봤는데 매번 볼 때마다 지루하지 않고 재밌는 명화 평점은 왜이리 낮은지 이해 안되지만 강추함!
195,잘 만든 영화인데 아들놈 레알 발암덩어리
196,짱짱맨!!! SF 외계인의 원작격인 우주전쟁.
197,몰입도 쩐다!! 진짜 재밌음
198,본 순간부터 아직까지도 기억에 남는 영화
199,애들땜에 암걸려서 망친영화 ...남자애는 중2병에 여자애는 정신병걸린거같음
200,아 애새끼들 진짜 말 드럽게 안듣네 뭔 만화영화만 존나 쳐봤나
201,톰크루즈라는 배우는 영화를 좀 더 풍미롭게 만드는 재주가 있는 것 같다. 그의 연기에 눈을 뗄 수가 없다
202,검색해보니 OO가까이 지난 작품이네.그런데도 갓 나온 따끈따끈한 신작같은 느낌.재미있게 잘 봤다
203,막 엔딩크레딧 올라갈땐 조금 복잡하지만 집에갈때쯤 이해가되는
204,자식새키들 다 패 죽여버리고 싶네. 말 엿같이 안듣네 쓰레기들이
205,하...오랜만에 또보는데 아들도 답답하고 딸래미소리꽥꽥짜증난다.아무리어려도 저런눈치하나없노
206,제목 발암전쟁으로 바꿔주세요
207,"영화에서 제일 생각나는 대사.""레이첼!!"""
208,메세지는 좋지만 설득력이 없다.
209,아빠가 얼마나 고생했는데 딸래미는 뒤도 안돌아보고 바로 엄마한테 뛰어가냐...
210,오리전쟁도 아니고 두시간 내내 꽥꽥 거리다 끝나냐 귀아프다
211,다음침공땐 우주복 입고 오시길..
212,방금 티비에서 한거 보신분~~~
213,애새키들ㅋㅋㅋㅋ소리를 왜케 질러ㅡㅡ
214,우와...이걸 10년전에 만들었다니....대단하다....
215,인디펜더스2 결말 보다 이 영화의 결말이 더 현실적이다...우주 방사능도 견디고 온 외계인을 핵으로도 못이겨.
216,재미있게 봤던 SF영화 우주영화 역시 굿!
217,어릴때 매우 인상깊게 본영화.. 그 신선한 충격은 잊지 못할것이다.  멋진 톰크루즈와 다코타패닝 잘 자라줘서 고마워!! ㅋㅋ
218,굿이었음 특히 톰크루즈
219,이걸안본사람있다면 진짜후회함
220,엔딩 불편하는 사람들... 참고로 이 영화는 동명의 원작 소설을 충실하게 따랐고
221,나는 나름 괜찮았는데 왜..
222,외계인은 지구에서 가장 고등생명체인 인간만 말살하면 차지할 수 있다고 보고 침략하였고 인간은 그들에게 대항한번 못해보고 무너져내렸죠. 하지만 지구를 지켜낸것은 원시적인 바이러스나 미생물들이죠.
223,별 백점 주고싶은영화어렸을적부터 쭉 열번넘게 봐온 영화인데배우들의 뛰어난 감정표현력으로 내 심장을 쥐략펴락하는 내 추옛억속의 아빠품에 안겨보던 영화
224,평점이 왜케낮아????!
225,평점낮아서10점 재미잇음 2005년에나온거 지금봐도 잼씀 그때봣으면 소름이엿을것같음 9년점임
226,왜계인 사람잡는거 꿀잼 근디 스릴러는 아닌것 같음..
227,과학적인 엔딩이 좋았음
228,루시랑 이거  인생영화 10글자ㄷㄷ
229,성인이 되서도 제일 사랑하는 영화
230,평점 낮네요 나름 재밌게 봤는데. 근데.. 스티븐 스필버그 감독님 제목이 좀...ㅋ
231,도입부의 그 긴장감은 정말...ㄷㄷ
232,어린나의 충격이엿다 진짜 최고의 영화다
233,짱짱맨 이거보고 천둥칠때마다지렸음
234,결말이 좀 그렇지만 잼있음
235,인류가 지구에 정착하기전부터 침공계획을 세웠다더니
236,다들 애들만 뭐라하는데... 애들을 뭐라뭐라하기전에 초반에 교회앞에서 땅다 갈라지고 차 날아가고 하는데 다 구경쳐하고있음  게발암영화임
237,와진짜 영화보다가암걸릴뻔했다아들은돌아이고 딸은 까마귀고기를쳐드셨나드럽게소리지르네아들때메 개빡쳐서 보다껐다진짜ㅡㅡ
238,개 발암 캐릭터에 개 발암 스토리
239,아들과 딸 때매 암걸려서 2점 줌
240,탐과 스필버그는 무슨 죄야?  자식새끼들이 영화를 망쳤네. 후반부에 외계인에게 딸이 납치되는거 보고 속이 시원했던 영화.
241,시간을 30분정도만 더 촬영해서 외계인이 미생물에게 엿되는걸 나레이션대신 했으면 10점인영화
242,평점이 왜 낮지? 이정도면 수작인데
243,평점이 마니 낮네요. 8.5 정도는 받을만합니다.
244,스토리가 유치하기 짝이없네아들은 정신병자 수준이고스필버그 작품치고는 졸작이다스토리 구성이 어처구니없다
245,아들만 죽었으면 참 좋았을텐데
