,content
220,영화의 배경이 요하네스버그라는 것에서 이미 상당 부분 감독의 의도를 보여준다고 할 수 있다. 연출이 다소 산만하고 시나리오가 비현실적이지만 이 영화를 만들 때 감독의 나이나 예산을 감안하면 수작임에 분명하다. 인간의...
221,일단 솔직한 느낌은 전해야 하니 털어놓을게요
222,굉장히 설득력있고 촘촘하게 잘 짜여진 sf영화. 2좀 만들어줘라 쫌 ㅠㅠ
223,외계인이 나오는 SF영화
224,10년이 지나서 다시봐도 대단하다.
225,ㅠㅠ장미꽃...
226,흥미로운 설정과 잘 짜여진 이야기와 다양한 메시지로 무장한 걸작
227,솔직한 평점은 8점. 그러나 많은 사람들에게 추천해주고 싶어서 평균점수 올리고 싶음. 처음엔 여러가지의 허술함과 허접함에 비웃었으나 점점 비웃을 수가 없었다. 인생은 당해봐야 아는 법
228,글 처음 써보네요.이 명작 영화를 지금에서야 봤다니..안보신분들 꼭 보세요 강추!!
229,인간은 항상 우리가 생각하는 그이상을저지른다
230,20번은 넘게본듯.. 티비서 할때마다 매번봄.. 이영화때매 샬토코플리 광팬됬음! 후속편 언제나옴? ㅠㅠ
231,많은것을 생각하게 해주는 최고의영화입니다
232,와 진짜 오랜만에 너무 새로운 영화를 봤다잔인한 장면을 잘 못보는데도 이 영화는 예술적이었기에 끝까지 볼 수 있었다특히 마지막 장면은 벙찌고 눈물이 핑 돌았다
233,명작이다... 마지막 장면 여운이 진짜....
234,외계인이 징그럽다고 느낀건 영화 시작 몇분뿐 그 이후 끝날때까지 징그럽고 혐오스러운건 오직 인간뿐이었다
235,다시봐도 명작. 이런 연출은 도대체 어떻게 한건지 지금보니까 더 재미있네.. 여운이 남는 이런 판타지영화 많이좀 나왔으면 좋겠다
236,와 진짜 충격적이다 이런명화를 난왜 이제야 본것일까 영화보고 충격받기는첨이네
237,풍자의 끝판왕.. 정말 후속작이 없는 게 아쉽당
238,후속작 빨리 보고싶네요 두번 세번 봐도 명작이라 그런지 질리지가 않아요
239,만약 외계인이 있다면 이런 잔인한 인류가 있는 지구에 오지 않기를.
240,인생영화 중 하나다 ㄹㅇ추천
241,다시 봐도 정말 대단한 영화. 후속편이 나온다면 어떤 내용일지 궁금함.
242,서부영화 나오나 채널 돌리다무시무시한 영화를 봄
243,예전 영화지만 지금봐도 SF의 독보적인 수준의 영화인것같다 마치 실제인듯한 다큐적 기법도 뭔가 궁금증을 증가시킨다 13년에 나온 엘리시움도 이감독이 얼마나 SF을 잘만드는 감독인지 알게해준다
