,content,,,,,,,,,,,,,,,,,,,,
177,탕아에서 성인으로..MCU는 토니 스타크의 일대기 그 자체였다. 로다주 아닌 아이언맨을 인정키 어려울 것 같았으나,,,,,,,,,,,,,,,,,,,,
178,현재 마블이 존재하게 해준 ,,,,,,,,,,,,,,,,,,,,
179,전설의 시작...!!,,,,,,,,,,,,,,,,,,,,
180,그분이 없었다면 이 거대한 서사의 한획을 긋기는 힘들었을겁니다,,,,,,,,,,,,,,,,,,,,
181,아이언맨 = 로버트 다우니 주니어,,,,,,,,,,,,,,,,,,,,
182,I’m Iron Man.,,,,,,,,,,,,,,,,,,,,
183,삼가 고인의 명복을 빕니다.,,,,,,,,,,,,,,,,,,,,
184,2008년.. 심야로 보고 차가 끊겨 집까지 걸어왔지만 11년전 그 감동을 아직도 잊지 못한다. 그리고.. 지금 엔드게임은 그 감동을 3,,,,,,,,,,,,,,,,,,,,
185,중3때본 몰입해서 잘봤던 영화 당시에 1번보고나서 바로 다시 돌려봤음,,,,,,,,,,,,,,,,,,,,
186,마블 영화의 기둥 아이언맨! 액션도 재미지고 농담도 재밌다,,,,,,,,,,,,,,,,,,,,
187,마블 영화 시리즈의 첫번째 작품 아이언맨 1,,,,,,,,,,,,,,,,,,,,
188,전설의 시작 (토니 스타크에 파란만장한 인생에 시작..),,,,,,,,,,,,,,,,,,,,
189,마블 시네마틱 유니버스의 천리길은 아이언맨이라는 한걸음부터,,,,,,,,,,,,,,,,,,,,
190,가능성이 있어보이게 현실감이 있는,,,,,,,,,,,,,,,,,,,,
191,한마디로 전설의 시작  인피니티워 기대합니다!!,,,,,,,,,,,,,,,,,,,,
192,마블의 시작이자 상징 아이언맨,,,,,,,,,,,,,,,,,,,,
193,내 개인적으로 아이언맨은 mcu 전체 영화에서도 1위,,,,,,,,,,,,,,,,,,,,
194,캡틴마블의 브리라슨 따위는 절대 아이언맨의 로다주를 뛰어넘을수 없고 아이언맨의 자리를 물려받을 자격이 없다,,,,,,,,,,,,,,,,,,,,
195,어떤 사람이 예상했을까 저 인간히어로가 파괴의 신 타노스를 잡는걸 세상 알다가도 모르는거다.,,,,,,,,,,,,,,,,,,,,
196,전설의 시작... 그저 호기심으로 극장에 갔을 뿐인데..^^,,,,,,,,,,,,,,,,,,,,
197,I am Iron Man,,,,,,,,,,,,,,,,,,,,
198,스파이더맨보고 아이언맨 그리워져서 다시 보러왔다..영화관에서 볼땐 마냥 재밌게만 봤는데 토니 죽고나서 다시보니 나무 울컥하네..,,,,,,,,,,,,,,,,,,,,
199,전혀 옛날 영화같지 않다.,,,,,,,,,,,,,,,,,,,,
200,11년된 영화를 다시보는데도 전혀 촌스럽지않다.마블의 전성기를 마련하는 기초당시 평론가평점이 6점이라는게 소름이다.,,,,,,,,,,,,,,,,,,,,
