,content,,,,,,,,,,,,
156,와....내시간..30분 돌려줘,,,,,,,,,,,,
157,핵노잼 김태리나온대서 20분 꾸역꾸역 보다가 껏다,,,,,,,,,,,,
158,화질좋은 지구용사 벡터맨과 7번방의 선물 신파 액기스를 쭉 뽑아내고 서로 혼합하여 만들어낸 졸작,,,,,,,,,,,,
159,넷플리스로감상  ..아  재미없다세계1위라길래  뭔가있나하고 보게됨시간만 죽임.. 게임인가??,,,,,,,,,,,,
160,최악의 sf영화 논리라고는 찾아볼수 없는 스토리 라인 한국식 뻔한 신파극 전형적인 한국 영화 구성 단지 배경만 우주일뿐 유일하게 봐줄 점은 CG기술 발달,,,,,,,,,,,,
161,그냥 쓰레기도 아니고 우주 쓰레기 영화. 개연성이 1도 없음. 흐름은 메밀면 끊기듯 뚝뚝 끊어지는데 거기에 신파까지 더하니 못봐주겠다 정말...대단한 배우들 모셔놓고 이렇게밖에 못만드나?그나마 영상미는 모험적임,,,,,,,,,,,,
162,5년만에 첨으로 졸게 만든 영화. 특유의 k 드라마만 좀 제외했더라면 그나마 나았을텐데,,,,,,,,,,,,
163,전반적인 스토리가 진부하다,,,,,,,,,,,,
164,스토리도 엉성 연기도 엉성 그냥 공짜로 넷플에서 봐서 다행,,,,,,,,,,,,
165,감독이 아닌 CG 엔지니어가 만든 영화,,,,,,,,,,,,
166,그냥 재미는 없네요 유치 스토리가...어우 국뽕주입시켜도 낮부끄럽네요,,,,,,,,,,,,
167,스토리가 우주쓰레기보다 더 쓰레기임,,,,,,,,,,,,
168,영상미 좋아요 우리나라 어벤저스판,,,,,,,,,,,,
169,솔직히 제작비만 보면 내다버린수준의 영화. 이 영화의 스토리가 좋다고 느끼는 사람은 수준이 많이 낮다고 생각한다.,,,,,,,,,,,,
170,우주 신파극 못봐주겠다. 손발오글거려서 1시간넘기기 힘들다. 좋은 소재 비싼 CG 비싼 배우 200억 제작비에 한국식 신파 칠갑 떡칠. 내 돈 아닌데도 돈이 너무아깝다.,,,,,,,,,,,,
171,새로운 도전과 영상미는 좋지만 송중기씨 연기가 너무 심각해요ㅜㅜ 주인공들의 전개도 너무 쌩뚱맞고 ㅜㅜ 너무 안타까워요,,,,,,,,,,,,
172,개구려요... 감상포인트 고를게없는데 뭐하나 골라야한대서 아무거나 눌렀어요,,,,,,,,,,,,
173,cg는 괜찮은데 내용이 너무 뻔한 클리셰.. 우리나라 영화는 도대체 언제까지 이럴건지 모르겠네요. cg 비용이 아까움,,,,,,,,,,,,
174,그나마  CG가  3점이다.,,,,,,,,,,,,
175,신파신파신파신파신파신파,,,,,,,,,,,,
176,1위했다고 봤어요..잠안올때 보면 좋은영화였습니다ㅠ기대를 너무 했나봅니다,,,,,,,,,,,,
177,진짜 역대급으로 지루한 영화,,,,,,,,,,,,
178,내가 다 부끄럽다.산만한 연출 스토리  웅얼거리는 대사 국산영화인데 자막을켜야 이해가 될똥말똥  영화와 전혀 안어울리는 생뚱맞은 유해진의 더빙  국산이라고 이렇게나 극찬을 하는게 맞는 일인지 진정 의문스럽다.,,,,,,,,,,,,
179,스토리 와나...노잼... 다 알바들인가ㅠ90년대 가족영화 인줄,,,,,,,,,,,,
180,연출 부족 ㆍ편집 산만함 ㆍ액션  산만함 ㆍ스토리 산만함ㆍ주인공 포함 배우들 연기 실망 ㆍ결론 몰입감  없음 ㆍ킹덤을 다시 봐야겠다,,,,,,,,,,,,
