,content
219,라이프 : 크라켄의 탄생
220,좀 많이 잔인하니까 비위 약한 사람은 비추천
221,자비없는 결말....
222,유익한영화였름 개꿀잼 불가사리무서룸
223,그간 예견된 미래를 영화한 것들이 현실화된 것을 볼 때 왠지 우려되기도..
224,1.평범한 우주생활 (지루함)2.켈빈이라는 문어 성장 (긴장감)3.인간들과 켈빈의 술래잡기 (스릴)4.탈출 (예상가능한 반전 결말)총평 : 살짝 지루하지만 몰입감과 긴장감 그리고 스릴과 잔인함이 계속 이어짐.로리는 ...
225,시...그냥 이런영환줄몰랐다
226,강자의 자리를 차지하기위해 모든 생물은 싸운다. 주인공은 인간의 전쟁이 싫어 우주로 왔지만 정작 본인은 아무런 죄책감 없이 쥐를 약탈하고 있다. 그리고 우주 생명체도 단지 살기위해 강자의 자릴 차지하기 위해 싸울뿐이...
227,답답한 영화. 흑인 박사가 기절한 상황에서부터 답답함의 연속입니다. 융통성 없고 상황판단 못하고 질질 짜고 있고 진짜 속 터지는 영화. 1점짜리 영화는 아니지만 지금 평점이 높다 싶어서 1점
228,결말만 빼면 쫄깃쫄깃 볼만함~~ 감독이 인종차별주의자냐? 유색인종 똥발암이네
229,제이크 질렌할을 언제나 옳지 시나리오 고르는 눈이 엄청나다 언젠나 믿고봄 실패하지 않음 눈망울이랑 속눈썹때매 클로즈업 들어가면 분위기가 애틋해진당 넘나좋은것 팬으로서의 흑심이조금 담긴 별점입니다
230,상영시작부터 끝까지 긴장하게 하는 작품...그나저나 흑형 명존쎄 한번만 하면 참 좋을텐데...
231,마지막 주인공들이 소리지르는거보고 소름 돋음
232,나름 긴장감 있고 소재가 신선해서 재미 있었음
233,진짜 너무 무서움..ㅜㅜㅜ 근데 제 생각에 2편은 안나올듯! 그냥 이대로 결말~
234,캐릭터들이 하나같이 다 고구마100개
235,엘리트만 있어야할 우주비행사들이 문제 해결능력 없고 암을 유발하며 괴생명체인 케빈은 '사람을 죽인다' 외왠 아무것도 없는 그냥 딱 7광구 해외판인데ㅋㅋ
236,우리나라 사람들은 영화가 언제나 해피엔딩이여야 하나보다.이런 엔딩 영화를 볼줄도 모르는 사람들이모여 스스로를 평론가로 일으켜세우며 정신승리하는게 참웃기다영화내에서의 문구가 참 맘에들었다 .우리가 살기위해 발버둥치듯이...
237,집갈때 다리가 간지러운기분.
238,외계생명체에 대해 다시 생각하게끔 하는 영화.
239,정말 오랜만에 본 재밌는 영화
240,크 완전 재밌었음. 스토리는 뻔하지만 긴장감 잃지않고 쫄깃하네요. 마지막 충격엔딩 유쾌하기까지 했음ㅋㅋ 너무 좋아ㅋㅋㅋ
241,처음부터 끝까지 개연성 제로.. B급 영화다..박사들에 선내 프로토콜이 있는데 격리를 기본으로 안함.사고 즉시 격리 후 탈출이 기본일 텐데사고 대응이 지나치게 감정적임.아무도 이성적이지 않음.우주 프로젝트는 몇천억 ...
242,괜히 찝찝. 하필 마지막에 중국으로 떨어지냐
243,정말 시간과 돈을 모두버리는 개노잼 노감동 과정도 별로고 촉수물 혐오스럽기만하고 결말 ㄹㅇ...
244,위에  영화 포스터 읽어보면 결말나옴. 반전같은거 없음. 재미도 없음.
245,부족한점이잇을수잇지만 영화적 상상력이 좋다
246,30년전 에얼리언이랑 똑같음
247,올해 개봉하는 에이리언 보기 전 보면 좋을 영화임. 엔딩이 필자가 살면서 본 영화 중 가장 충격적이고 신선했음.
248,처음에는 좀 지루했는데 영화의 집중도가 시간이 지날수록 빠져드네요. 나름재밌게 관람했습니다
249,설마 했던 예상이 진짜 결말로 .. 보는 내내 공포를 느꼈음 엔딩마저 공포 .. ㅋㅋ
250,ㄹㅇ이다 ㅋㅋ 팝콘이 목에 넘어가는 구간과 아닌 구간이 명확히 구분됨.. 팝콘먹다가 옥수수 껍질에 목막혀서 죽는 줄 알았엉
251,뭔가 다른 영화들과 헷갈릴정도의 전개 그러나 외계인영화 광인 나는 맘에듬 ㅋㅋㅋ
252,볼만했지만.. 다보구 속이 울렁거려 도저히 만점을 못주겠다... 토하고 싶어
253,가장 큰 공포는 가장 고립된 곳에서 혼자있는 것이다그래비티와 에일리언 1의 스토리를 합쳐놓으니 더 시너지 효과가 나는 듯..쫄깃하다
254,어릴 때는 막연하게 우주의 대한 환상을 가지고 있었는데 에일리언 시리즈
255,불쌍한 데드풀~~~ 넘 일찍 죽어~~~홍어한테
256,나홀로집에 케빈 이후에 최고의 캐빈인듯
257,여러모로 부족한 에일리언 + 그래비티. 그럼에도 불구하고 풍자적인 결말이 그나마 맘에 들어서 8점. 지들이 제일 똑똑한줄 아는 인류가 우주에서 그렇게 까불다가 내 그리될 줄 알았다.
258,캘빈이 하필 흑형 다리에 붙어서 데리고 들어온 거예요. 흑형 원래 다리 감각 없어서.
259,완전 스릴 쩐다 많이 안 잔인해서 또 좋네요ㅋㅋ 근데 2프로 부족해....그래도 재밌었음ㅋㅋ 개인적으로 이런 결말도 좋습니다. 계속 생각나네요 캘빈...곱등이 같은 자식 볼수록 귀요미ㅋㅋㅋㅋ 영화 진짜 강추!!!
260,망한 영화는 이유가 있다. 아메바 수준의 똑똑한 문어와 우주선을 만든 멍청한 인간의 무뇌게임!!
261,상당히 현실적이고 재닜었다. 눈과 귀를 사로잡은 영화.
262,암덩어리가 나와 암을 키우는 영화  ...하나 하나가 다 암이다
263,베스트댓글 흑형은 다리에 감각을 못느낌 앞서 장애인이라는 게 나왔잖슴 그래서 달고 있는지 몰랐던 거임. 엔딩도 그렇고 전체적으로 저는 만족했음 재밌던데
