,content,,,,,,,,,,,,,,,,,
139,헝거게임보단 훨씬 나음,,,,,,,,,,,,,,,,,
140,완전 재밌어요!!!! 시간 가는 줄 모르고 봤네요~,,,,,,,,,,,,,,,,,
141,단체로 중2병 걸린영화?,,,,,,,,,,,,,,,,,
142,휴.... 쩝... 다이버전트가 커피믹스라면  헝거게임은 티오피야,,,,,,,,,,,,,,,,,
143,자꾸 감정이입되더라구요.. 다섯분파로 나뉜.. 영화가 더 극적이긴하지만 현실과 동떨어진 그런 판타지는 아니었으니까요. 메세지도 있구 소구하고자 하는 바가 명확해서 좋았습니다.,,,,,,,,,,,,,,,,,
144,배경음악 너무 멋잇고 영상 너무 화려하고 너~무 재밋게 몰입해서 잘 봣습니다 ㅎ 돈주고 봐도 안아까울 영화!,,,,,,,,,,,,,,,,,
145,존잼 ㅋㅋ 배우라고는 케이트 윈슬렛 밖에 모르고 봤는데 두 젊은 배우들 다 괜찮았다! 음악도 좋았다 뭔가 음악영화라고도 생각될만큼~,,,,,,,,,,,,,,,,,
146,진짜 재밌었음 ㅋㅋ 2가  빨리나왔음좋겠다,,,,,,,,,,,,,,,,,
147,시사회가서 봤는데 생각 보다 재밌네요~~,,,,,,,,,,,,,,,,,
148,기대안하고봤는데 완전재밌네요~~~!!!,,,,,,,,,,,,,,,,,
149,잼있네요 2편도 나오겠죠,,,,,,,,,,,,,,,,,
150,처음부터 끝까지 보는 재미가 있어요. 저 원래 이런 평가 안 쓰는 편인데 간만에 너무 재밌게 영화를 봐서 또 찾아보게 되네요. 다음 이야기는 어떻게 될까 궁금증을 자아내는 재미가 있네요. 배우들도 연기를 너무 잘하고...,,,,,,,,,,,,,,,,,
151,자신이 평범하다 생각하고 특별해지고 싶어하는 사람들도 이 영화에선 주인공(다이버전트)이 된다.언젠간 우리사회가 이렇게 한가지 위치에 고정해 모든걸 통제받으면서 살아갈수도 있다는걸 현실적으로 다가오게 보여졌다 특히 이...,,,,,,,,,,,,,,,,,
152,원작이 너무재미있어서 기대를많이했는데 실망을 안시키네요 진짜 강추합니다!!!,,,,,,,,,,,,,,,,,
153,결말은쫌아닌데ㅜㅜ졸잼,,,,,,,,,,,,,,,,,
154,전 미국사는데 헝거게임보다 다이버전트가 더 재밌고 더 인기가 많습니다.  제 인생에서 2번째로 재밌게 봤던 영화입니다. 정말 긴장감을 놓칠 수 없는 영화. 개인적으로 헝거게임보다 재밌게 봤습니다.정말 평점 1 준사람...,,,,,,,,,,,,,,,,,
155,재미있게 봤습니다. 소설을 안봐서그런가 잘 이해가 가지 않은 설정도 있지만 속도감좋고 음향도 그럭저럭.,,,,,,,,,,,,,,,,,
156,5개 분파에 대한 독특한 해석이 맘에 드네요. 헝거게임보다 스토리는 더 탄탄한거 같고. 보아하니 시리즈 3부작중 첫번째 편인것 같은데. 앞으로가 더 기대되는 영화입니다.,,,,,,,,,,,,,,,,,
157,지금의 우리 시대상과 너무나 닮아있다,,,,,,,,,,,,,,,,,
158,올해가 1편이니까 2015년 2016년 속편도 기대가 됩니다^^,,,,,,,,,,,,,,,,,
159,아 이게 시리즈물이었구나..다섯 분파중에 3분파만 많이 나오고 2분파는 이름만 언급되서 좀 아쉬웠는데 다음편에는 좀 더 많이 나오길 기대해봅니다.그리고 남주,,,,,,,,,,,,,,,,,
160,기대안하고 봤는데 몰입도 짱!!ㅋㅋ,,,,,,,,,,,,,,,,,
161,미래를 말한다지만 현재를 정확하게 분석한 분파세계!!!,,,,,,,,,,,,,,,,,
162,배경 설정은 스케일이 크지만 영화 자체의 스케일은 그리 크지 않다. 봐도 실망하지는 않을 정도인데,,,,,,,,,,,,,,,,,
163,헝거게임 보다 부족하지만 시리즈물 즐기는 사람이면 볼만함,,,,,,,,,,,,,,,,,
164,난 헝거게임보다재밌는데,,,,,,,,,,,,,,,,,
165,잼있네여  내용이 감동도있구요,,,,,,,,,,,,,,,,,
166,영화 중간 중간 개연성이 떨어짐 진짜 잉?하는 순간이 많았다,,,,,,,,,,,,,,,,,
167,나이가 들어도 저렇게 예쁘믄 얼마나 좋을가  ㅠㅠ,,,,,,,,,,,,,,,,,
168,다채로운 그래픽덕분에 보는 재미도 있었고 탄탄한 스토리 덕분에 즐기는 재미도 있었습니다.,,,,,,,,,,,,,,,,,
169,헝거게임과 비슷하지만 비슷하지않은 재밋었다!들키지않으려고 심장쫄깃해지고 강한 자신을 찾으며 변해가는 주인공보며 나도 나름 반성도하고? 남주 여주 ㅠㅠ 존잘 존예... 난 재밌게 봤수다!ㅋ,,,,,,,,,,,,,,,,,
170,그런대로 괜찮은 영화였습니다.,,,,,,,,,,,,,,,,,
171,내용도 괜찮았고 흐름도 좋았다고 본다. 어떻게 딱 꼬집어 말하긴 힘들지만 꽤 볼만하다고 생각한다.,,,,,,,,,,,,,,,,,
172,간만에 정말 재밌는 영화를 봤다 다이버전트 추천할께요,,,,,,,,,,,,,,,,,
173,난 정말 재밌게 봤는데 점수 너무 짜다ㅋㅋ이 정도의 영화는 아닌데,,,,,,,,,,,,,,,,,
174,완죤 여심자극!! 테오 제임스 땜에 한번 더보고 싶을 정도네요!!,,,,,,,,,,,,,,,,,
175,하악.. 테오 제임스에게 푹 빠져서 집에왔네요.. 조조로 오전에 봤는데도 아직도 기억남..,,,,,,,,,,,,,,,,,
176,정말 재밌어요  추천드립니다 ㅎㅎ,,,,,,,,,,,,,,,,,
177,영화 보는ㄴ 내내 일분일초도 지루하지 않았음,,,,,,,,,,,,,,,,,
178,테오 제임스~완전 내스타일~개인적으로 중후반이 진짜 맘에듬,,,,,,,,,,,,,,,,,
179,테오 제임스 나온대서 이건 꼭 봐야할 영화였는데^^ 역시테오 제임스 은 너무 잘생겼네요~~~ 연기도 잘하구,,,,,,,,,,,,,,,,,
180,생각보다 재밌었음! 남주내스타일 ㅎㅎ,,,,,,,,,,,,,,,,,
